election_year,smd_id,external_id,candidate_name,votes,vote_share,ranking,winner,write_in_winner,margin_of_victory,margin_of_victory_percentage,num_candidates,total_votes
2022,smd_2022_7F07,18826c65515fe7fd269c41df3b3b2f2f6615845703e91c3b38ba9b14,Shirley Thompson-Wright,178,0.37791932059447986,1.0,True,False,8.0,0.016985138004246336,4,471
2022,smd_2022_7F07,7dd1dae79e14dfd3dc0f740bc5c20b18977f3c36c95c50e73a60d036,Dev Myers,170,0.3609341825902335,2.0,False,False,-8,-0.016985138004246336,4,471
2022,smd_2022_7F07,cf850fbcae94cd09fe75841e856cac44effb5f05ead4336bb968839d,Beatrice (BeBe) Evans,115,0.24416135881104034,3.0,False,False,-63,-0.13375796178343952,4,471
2022,smd_2022_7F07,,Write-in,8,0.016985138004246284,4.0,False,False,-170,-0.3609341825902336,4,471
2022,smd_2022_7F08,,Write-in,68,1.0,1.0,True,True,0,0.0,1,68
2022,smd_2022_8A01,c0650ad08f10e30c8d9f34cb703618985867e1eb1eeb4b266883fa0f,Tonya Crawford,393,0.9538834951456311,1.0,True,False,374.0,0.9077669902912622,2,412
2022,smd_2022_8A01,,Write-in,19,0.04611650485436893,2.0,False,False,-374,-0.9077669902912622,2,412
2022,smd_2022_8A02,b6b55953e7a724171fcb804decdb2b8864f98badf681d52d3bfa4959,Barbara J. Clark,212,0.48735632183908045,1.0,True,False,95.0,0.21839080459770116,4,435
2022,smd_2022_8A02,4ded6977223b96ff6c8e75692490efdb4aa5f05719a9fe4dc1d05c5a,Mohamed K. Azab,117,0.2689655172413793,2.0,False,False,-95,-0.21839080459770116,4,435
2022,smd_2022_8A02,931d56bd47d04f1732e6d10322b742d1d987ec975f6c60fd10efd113,Elizabeth Carter,90,0.20689655172413793,3.0,False,False,-122,-0.2804597701149425,4,435
2022,smd_2022_8A02,,Write-in,16,0.0367816091954023,4.0,False,False,-196,-0.45057471264367815,4,435
2022,smd_2022_8A03,a65a431523a9d277cc528f3ac9b15fa62acd6c52a67f52987179c7ea,Holly Muhammad,286,0.5618860510805501,1.0,True,False,72.0,0.14145383104125742,3,509
2022,smd_2022_8A03,964c895f20326871b61836bcff48f4744df76527b91cfca04e3e07f0,"Bobby ""Slli'm"" Williams",214,0.4204322200392927,2.0,False,False,-72,-0.14145383104125742,3,509
2022,smd_2022_8A03,,Write-in,9,0.01768172888015717,3.0,False,False,-277,-0.5442043222003929,3,509
