smd_id,Name,official_name,is_vacant,is_chairperson,oanc_hash_id
smd_2D02,Carole L. Feld,Carole L. Feld,False,False,ec455da2df448cd8233c856bfeda1b38e9c4f03da7f63fc8605a8234
smd_2E01,Kishan Putta,Kishan Putta,False,False,4543d7cc796b2bc9192df66e359c51904c9a3cb754d272f49435502e
smd_2E02,Jenny Mitchell,Jenny Mitchell,False,False,91ca974b7142dbad57dca901d74facf3b57e58c8ad16da0a7c4ef578
smd_2E03,Rick Murphy  Chairperson,Rick Murphy,False,True,8294cde06e0f53771fe646ba7ae82632abbdc85a423b6f0f2434c4e4
smd_2E04,Cimrun Srivastava,Cimrun Srivastava,False,False,b0ede721091ac64f263499ed090b527a4e09abfbd95f6a6efe7b976e
smd_2E05,Lisa Palmer,Lisa Palmer,False,False,a1e0b88f86d2f4bbbcddfa7d4393a9476c819ba0a5e5cddf188f45fa
smd_2E06,Gwendolyn Lohse,Gwendolyn Lohse,False,False,401b08152e896c7717587066b1fe786a81a8014e1cb2ed460be36305
smd_2E07,Elizabeth H. Miller,Elizabeth H. Miller,False,False,8815d43a75b57fb1feea3e5cf7d5015bca2a27cb8402c2fbb877a4d4
smd_2E08,Amav Kumar,Amav Kumar,False,False,07fbbd25457e3e80503cc8947b9e284a8db7887cb4783f34be2ea975
smd_2F01,Brian Romanowski,Brian Romanowski,False,False,26ccc4440e6f59fbd91634993a4c27c2e2e7f8db1af468d88171a5d6
smd_2F02,John Guggenmos,John Guggenmos,False,False,b137eeb867b4ae9c2436745c6cf84a085eea8fd20229e64c8a71f6cf
smd_2F03,Michelle Yan,Michelle Yan,False,False,6d42e11a7706a7c46ab22f3bb6559987f5c772160a32ca783bd64708
smd_2F04,John Fanning,John Fanning,False,False,cb3533650e695fc1c5c4d92cf9e795e17778876edbf253c12e4a3985
smd_2F05,Sherene Joseph  Chairperson,Sherene Joseph,False,True,dee718b803deca903d448936a36d64a547ba73a58eacd6e8fa6bbb2b
smd_2F06,Maxime Devilliers,Maxime Devilliers,False,False,07f6783b075028a6b59fe5445e74460a875378bc96ac15909a1b6211
smd_2F07,Vacant,Vacant,True,False,79a4b0d9e72e1fbfac4d57baf9800eb9d91a663613a5b34537fde764
smd_2F08,Alexandra Bailey,Alexandra Bailey,False,False,679bd7739b2c9a51c02a0c109cdffa877474b403211f0d8c57769509
smd_3B01,Ann Lane Mladinov,Ann Lane Mladinov,False,False,7a8c4dea8df6aa1644483dc4025a08be0b6db97c532832444c055b47
smd_3B02,Jackie Blumenthal,Jackie Blumenthal,False,False,3d3b4ecc4d3f387b8d44e4e4204a09d7f55e9648f54604d5a2197efb
smd_3B03,Melissa Lane,Melissa Lane,False,False,2f38be7fe2ef211de3a37059330f1273db92872df1575a8b3945ee40
smd_3B04,Elizabeth Elson,Elizabeth Elson,False,False,e970e95bf6ed70a7272405e263f9ed99ac5d13db3e23ea1c88a12f02
smd_3B05,Brian G. Turmail  Chairperson,Brian G. Turmail,False,True,a385e6a8e16e8a9d09f79d8d9044c07ec70573154247b259df19f31b
smd_3C01,Lee Brian Reba,Lee Brian Reba,False,False,e9c6e219bfe8fff8bb7b1c9cc9d517e8cb15ee38897ca11b55de6878
smd_3C02,Jason Fink,Jason Fink,False,False,d7b7bf0aec9f3d8ab7729bad446efff1ba7c856dcf922a66e233825f
smd_3C03,Janell Marie Pagats,Janell Marie Pagats,False,False,7ec9c39510df4641d503c295e92791d5cafc1ef7ed09fda6f9b24eba
smd_3C04,"Robert ""Beau"" Finley  Chairperson","Robert ""Beau"" Finley",False,True,8c20463654efa31fff9a88eeac9ef38035f33115eaf2cf6b053928a0
smd_3C05,Sauleh A. Siddiqui,Sauleh A. Siddiqui,False,False,fa17ace3fadcb110ee55c6655011312bd71666b315a5b9b8774987a1
smd_3C06,Adam M. Hoyt,Adam M. Hoyt,False,False,7105105b8841eab2908dd7a2aec88e0c7f39f061724ee8fda0207289
smd_3C07,Maureen Kinlan Boucher,Maureen Kinlan Boucher,False,False,09706257729bd98757c23e6e6f1cb7ae261e5a26dd37dfee3071482c
smd_3C08,Jocelyn Dyer,Jocelyn Dyer,False,False,00fe8c263df7a316982b05d292cc860d25219a04a0017d748fe2843c
smd_3C09,Nancy J. MacWood,Nancy J. MacWood,False,False,53bcc1abb401cc4160c1f5e8c6afee009e858add273a3a8e973d4801
smd_3D01,Chuck Elkins,Chuck Elkins,False,False,4b9a1b9b8674349e43686a3fde8d2fb845029eb4358258670514ebea
smd_3D02,Vacant,Vacant,True,False,4002414324125f0240edf5ff9787c0f38e465079069b1bc5f8f62f92
smd_3D03,Paige Ela,Paige Ela,False,False,b63970c19a4ff3ad31ad847b444c51f47bf376701caa0bf9bd97cc08
smd_3D04,Michael Sriqui,Michael Sriqui,False,False,c8f4ace514c9b3c0ddff337b5ad9ffac9a9956760cfc90efc9a80acb
smd_3D05,Sabra Horne,Sabra Horne,False,False,4e2a5aade9946ca4d3d6baf67e7e756c07942a6979a4d83624132b19
smd_3D06,Jason Rao,Jason Rao,False,False,981f3294bfb4ebced194e8833bcca3422de4d4d16f8e6036c4a5b777
smd_3D07,Vacant,Vacant,True,False,f5bdb41b41846e65fb7206724190bb08e959cf1f1cf610d5749c25dd
smd_3D08,Benjamin Bergmann  Chairperson,Benjamin Bergmann,False,True,2478be1ce8150e68ffbbda70de6a599e266a9174a6e3dd08d703a6af
smd_3D09,J.P. Szymkowicz,J.P. Szymkowicz,False,False,23f8473a477bed22214633a56f5db3ef8454263cd2a45a8f4dc08408
smd_3D10,Jeremy Del Moral,Jeremy Del Moral,False,False,061baf05c05455b19b74aefc9ac93035993bee4a0d2ce04547c647ce
smd_3E01,Matthew Cohen,Matthew Cohen,False,False,87cdb95abf753f43e067369ee4b09afebc1cd515ea7acd4325d06fa3
smd_3E02,Amy B. Hall,Amy B. Hall,False,False,47b9eecdcb0d6b3565b80273cd2aff01d2ae5ccd27fca1bf140801c8
smd_3E03,Jonathan Bender  Chairperson,Jonathan Bender,False,True,9bccc085e31031a1369deefaca6417b5ab34ff6a253c2e13424a04fa
smd_3E04,Tom Quinn,Tom Quinn,False,False,e2a83c59a8d1968816bd11f2ee815f2ed2c1084793b3c6fef7fb389b
smd_3E05,Alexandra Gianinno,Alexandra Gianinno,False,False,8f274f52efa03041d2fa93b117c9158895bc38803f060863a361fec1
smd_3F01,David Cristeal,David Cristeal,False,False,ffbff0989122b17597ba6057903456c05221e65a0031ef7b2df6d26b
smd_3F02,Alexandria Appah,Alexandria Appah,False,False,b1d95b6d56bd8cd005302a3a7afd217a8583a58e71f224ca6aceb982
smd_3F03,Dipali Mehta,Dipali Mehta,False,False,f37decec190495c185be223421139a9506dc8ff76584c3a9614f698b
smd_3F04,Stanley Wall,Stanley Wall,False,False,80d1d8aecf22571e1698c51c820c17263c874b924a481c19834b886d
smd_3F05,Claudette David  Chairperson,Claudette David,False,True,19415056cad25c631066e8c275132df730f176038a4699d2916f5625
smd_3F06,Monika Nemeth,Monika Nemeth,False,False,603f7dbfe71fa6f68d619c9d4e5d2211db08fbaa53f4ad1311679129
smd_3F07,James Tandaric,James Tandaric,False,False,d93a983d31951f786f1f8b57a4619953a2f8ae560716fdebe9793907
smd_3G01,Lisa R. Gore,Lisa R. Gore,False,False,f88a494a15e35a5251d4490f32ac8fd8f23f238785e5081b506b7d1d
smd_3G02,John K. Higgins,John K. Higgins,False,False,984d2803aea8ae79835a069f4713094ee35e30d6ac304ca117455bb7
smd_3G03,Randy Speck  Chairperson,Randy Speck,False,True,9f0d5d5786fe15613a071a568697695c30e1878be1a6a412099808a7
smd_3G04,Michael Zeldin,Michael Zeldin,False,False,8aac7b8a34000c9854be6689d17f92452bf1d437ce836959901e3038
smd_3G05,Connie K.N. Chang,Connie K.N. Chang,False,False,b5de761f333ce867eae9269eed7eecc6723c85b76877b753725b8add
smd_3G06,Peter Gosselin,Peter Gosselin,False,False,a3405e51b5ad1b9e4592d06ccb0d6a3a2ecb73419053c581a82171c3
smd_3G07,Charles Cadwell,Charles Cadwell,False,False,494b301047484227d8a3850d7bc647ea047418c79e1a79ecc5b276dd
smd_4A01,Phyllis Caudle Green,Phyllis Caudle Green,False,False,04efa7bc3d992c9c02c5962bc1dc6eaa7410ffec21910d071bfd570f
smd_4A02,Stacey Lincoln,Stacey Lincoln,False,False,1f627b8bc81feb62e8e08eae1817808c0a3107cb851464636b4f697e
smd_4A03,Stephen A. Whatley,Stephen A. Whatley,False,False,8287fe21b3171ab0441b1141817ede46e7e191d00801935b8f91dc33
smd_4A04,Patience Singleton  Chairperson,Patience Singleton,False,True,3061cc765f61e578ebc4f65c1c4dd9db0a4a4aca086e3778db218ce6
